unidade;ano;mes;pacientes_pcm;internacoes;tx_paciente_pcm
MOV;2024;10;0;542;0,0
MOV;2024;11;0;514;0,0
MOV;2024;12;0;525;0,0
MOV;2025;1;0;624;0,0
MOV;2025;2;0;581;0,0
MOV;2025;3;0;680;0,0
MOV;2025;4;0;633;0,0
MOV;2025;5;0;651;0,0
MOV;2025;6;0;611;0,0
MOV;2025;7;0;540;0,0
MOV;2025;8;0;551;0,0
MOV;2025;9;0;590;0,0
MOV;2025;10;0;597;0,0
MOV;2025;11;1;557;0,0017953321364452424
MOV;2025;12;1;567;0,001763668430335097
MOV;2026;1;0;577;0,0
